,,,,,,,5D_returns,5D_returns,5D_returns,5D_returns,5D_returns,10D_returns,10D_returns,10D_returns,10D_returns,10D_returns
,,,,,,,count,mean,median,min,max,count,mean,median,min,max
10_cross_30,MACD_Signal_MACD,MACD_lim,abv_50,abv_200,5D_positive,10D_positive,,,,,,,,,,
0,0,1,1,1,1,0,130,1.5333063106125318,1.2194553221249924,0.004781364486394489,8.682635922491357,130,-3.8637615729552857,-2.130192428394115,-99.63151644693774,-0.02884530862201251
0,0,1,1,1,1,1,458,3.3065842606251787,2.599925498647119,0.019297880044352712,18.16305319275999,458,5.135730612515954,4.239377373371566,0.016061883860681997,39.44809328135472
0,1,0,0,0,0,0,1432,-3.608268240967723,-2.3312904376351735,-99.62723688705366,0.0,1432,-4.972528750445581,-3.1338707837773736,-99.62826234726148,0.0
0,1,0,0,0,0,1,597,-1.8248495599461967,-1.2558546147504492,-13.653642999503218,0.0,597,3.4239789481560847,2.1396677455747195,0.004134803895798039,39.22107694336713
0,1,0,0,0,1,0,457,1.8045148104189217,1.0680863259910605,0.015749174914697264,17.281737427581533,457,-2.5443551452938373,-1.5170138969834017,-78.96121796822347,0.0
0,1,0,0,0,1,1,1822,3.8033473281651737,2.8263233337201883,0.005945666082974138,42.9680669833512,1822,5.176750599876654,3.9961567945990004,0.005944910642186391,46.05096244724554
0,1,0,0,1,0,0,545,-2.7624215339591527,-2.1127839590477304,-15.024588926390829,-0.014801188496758174,545,-4.271241272437891,-2.8489807591405736,-94.95795562858758,-0.006146525664638052
0,1,0,0,1,0,1,189,-1.311748424225053,-0.8246577987718072,-7.534320892855381,0.0,189,3.433335003411929,2.185297782743211,0.024958998527909906,168.69469282772266
0,1,0,0,1,1,0,175,2.2931285134540444,1.1048942063420728,0.011539192951527779,144.5930883462633,175,-2.449003444378046,-1.388557676805675,-79.52478797539257,0.0
0,1,0,0,1,1,1,668,3.1244607354902874,2.5581204114792317,0.014232117452739196,24.5462729029458,668,4.8295619398561875,3.7686684913054416,0.011489384456051873,158.53970892975136
