MAHINDRA,WIPRO,INFOSYS,EXIDE,,,,,,,,,,,,,,,,,,,,,,
618.35,201.92,490.44,158.25,,,,,,,,,,,,,,,,,,,,,,
612.6,204.09,498.26,159.6,,,,,,,,,,,,,,,,,,,,,,
619.25,207.23,505.59,158.8,,,,,,,,,,,,,,,,,,,,,,
640.8,211.5,511.83,158.95,,,,,,,,,,,,,,,,,,,,,,
655.6,211.59,512.11,157.15,,,,,,,,,,,,,,,,,,,,,,
667.05,210.19,511.61,159,,,,,,,,,,,,,,,,,,,,,,
648.45,211.16,504.2,158.9,,,,,,,,,,,,,,,,,,,,,,
640.25,209.34,501.83,157.2,,,,,,,,,,,,,,,,,,,,,,
549.1,207.13,492.13,155,,,,,,,,,,,,,,,,,,,,,,
545.1,207.96,504.15,154,,,,,,,,,,,,,,,,,,,,,,
554.4,210.64,505.79,153.7,,,,,,,,,,,,,,,,,,,,,,
550.6,211.33,511.95,154.2,,,,,,,,,,,,,,,,,,,,,,
549.4,205.8,502.16,150.85,,,,,,,,,,,,,,,,,,,,,,
547.35,204.6,505.23,146.1,,,,,,,,,,,,,,,,,,,,,,
557.25,207.26,507.01,148.75,,,,,,,,,,,,,,,,,,,,,,
553.5,208.43,502.91,148.35,,,,,,,,,,,,,,,,,,,,,,
550.55,208.13,500.01,144.9,,,,,,,,,,,,,,,,,,,,,,
540.5,203.83,498.03,144.75,,,,,,,,,,,,,,,,,,,,,,
556.3,211.03,506.63,144.7,,,,,,,,,,,,,,,,,,,,,,
557.55,204.77,499.41,142.8,,,,,,,,,,,,,,,,,,,,,,
551.45,201.51,493.76,142,,,,,,,,,,,,,,,,,,,,,,
554.05,202.84,495.23,144.65,,,,,,,,,,,,,,,,,,,,,,
551.45,202.61,499.68,145.6,,,,,,,,,,,,,,,,,,,,,,
549.15,204.96,497.85,146.7,,,,,,,,,,,,,,,,,,,,,,
541.2,208.54,500.98,147.9,,,,,,,,,,,,,,,,,,,,,,
544.15,210.58,497.68,146.85,,,,,,,,,,,,,,,,,,,,,,
551.45,210.08,511.93,149.2,,,,,,,,,,,,,,,,,,,,,,
553.6,209.03,500.2,150.15,,,,,,,,,,,,,,,,,,,,,,
545.3,212.03,497.55,150.75,,,,,,,,,,,,,,,,,,,,,,
529.8,207.06,495.23,151.5,,,,,,,,,,,,,,,,,,,,,,
521.8,209.49,502.63,152.8,,,,,,,,,,,,,,,,,,,,,,
483.35,207.15,495.08,146.25,,,,,,,,,,,,,,,,,,,,,,
477.8,205.01,492.18,148.3,,,,,,,,,,,,,,,,,,,,,,
486.15,207.28,498.7,151.4,,,,,,,,,,,,,,,,,,,,,,
479.3,208.41,494,150.1,,,,,,,,,,,,,,,,,,,,,,
471.6,206.08,495.15,150.3,,,,,,,,,,,,,,,,,,,,,,
